"ID","SessionNumber","StartDate","EndDate","LegislativePeriodNumber"
4601,1,1999-12-06T00:00:00,1999-12-22T00:00:00,46
4602,2,2000-03-06T00:00:00,2000-03-24T00:00:00,46
4603,3,2000-06-05T00:00:00,2000-06-23T00:00:00,46
4604,4,2000-09-18T00:00:00,2000-10-06T00:00:00,46
4605,5,2000-11-27T00:00:00,2000-12-15T00:00:00,46
4606,6,2001-03-05T00:00:00,2001-03-23T00:00:00,46
4607,7,2001-05-07T00:00:00,2001-05-09T00:00:00,46
4608,8,2001-06-05T00:00:00,2001-06-22T00:00:00,46
4609,9,2001-09-17T00:00:00,2001-10-05T00:00:00,46
4610,10,2001-11-16T00:00:00,2001-11-17T00:00:00,46
4611,11,2001-11-26T00:00:00,2001-12-14T00:00:00,46
4612,12,2002-03-04T00:00:00,2002-03-22T00:00:00,46
4613,13,2002-04-15T00:00:00,2002-04-17T00:00:00,46
4614,14,2002-06-03T00:00:00,2002-06-21T00:00:00,46
4615,15,2002-09-16T00:00:00,2002-10-04T00:00:00,46
4616,16,2002-11-25T00:00:00,2002-12-13T00:00:00,46
4617,17,2003-03-03T00:00:00,2003-03-21T00:00:00,46
4618,18,2003-05-05T00:00:00,2003-05-08T00:00:00,46
4619,19,2003-06-02T00:00:00,2003-06-20T00:00:00,46
4620,20,2003-09-15T00:00:00,2003-10-03T00:00:00,46
4701,1,2003-12-01T00:00:00,2003-12-19T00:00:00,47
4702,2,2004-03-01T00:00:00,2004-03-19T00:00:00,47
4703,3,2004-05-03T00:00:00,2004-05-07T00:00:00,47
4704,4,2004-06-01T00:00:00,2004-06-18T00:00:00,47
4705,5,2004-09-20T00:00:00,2004-10-08T00:00:00,47
4706,6,2004-11-29T00:00:00,2004-12-17T00:00:00,47
4707,7,2005-02-28T00:00:00,2005-03-18T00:00:00,47
4708,8,2005-05-30T00:00:00,2005-06-17T00:00:00,47
4709,9,2005-09-19T00:00:00,2005-10-07T00:00:00,47
4710,10,2005-11-28T00:00:00,2005-12-16T00:00:00,47
4711,11,2006-03-06T00:00:00,2006-03-24T00:00:00,47
4712,12,2006-05-08T00:00:00,2006-05-11T00:00:00,47
4713,13,2006-06-06T00:00:00,2006-06-23T00:00:00,47
4714,14,2006-09-18T00:00:00,2006-10-06T00:00:00,47
4715,15,2006-12-04T00:00:00,2006-12-20T00:00:00,47
4716,16,2007-03-05T00:00:00,2007-03-23T00:00:00,47
4717,17,2007-06-04T00:00:00,2007-06-22T00:00:00,47
4718,18,2007-09-17T00:00:00,2007-10-05T00:00:00,47
4801,1,2007-12-03T00:00:00,2007-12-21T00:00:00,48
4802,2,2008-03-03T00:00:00,2008-03-20T00:00:00,48
4803,3,2008-04-28T00:00:00,2008-04-28T00:00:00,48
4804,4,2008-05-26T00:00:00,2008-06-13T00:00:00,48
4805,5,2008-09-15T00:00:00,2008-10-03T00:00:00,48
4806,6,2008-12-01T00:00:00,2008-12-19T00:00:00,48
4807,7,2009-03-02T00:00:00,2009-03-20T00:00:00,48
4808,8,2009-04-27T00:00:00,2009-04-30T00:00:00,48
4809,9,2009-05-25T00:00:00,2009-06-12T00:00:00,48
4810,10,2009-08-10T00:00:00,2009-08-11T00:00:00,48
4811,11,2009-09-07T00:00:00,2009-09-25T00:00:00,48
4812,12,2009-11-23T00:00:00,2009-12-11T00:00:00,48
4813,13,2010-03-01T00:00:00,2010-03-19T00:00:00,48
4814,14,2010-05-31T00:00:00,2010-06-18T00:00:00,48
4815,15,2010-09-13T00:00:00,2010-10-01T00:00:00,48
4816,16,2010-11-29T00:00:00,2010-12-17T00:00:00,48
4817,17,2011-02-28T00:00:00,2011-03-18T00:00:00,48
4818,18,2011-04-11T00:00:00,2011-04-14T00:00:00,48
4819,19,2011-05-30T00:00:00,2011-06-17T00:00:00,48
4820,20,2011-09-12T00:00:00,2011-09-30T00:00:00,48
4901,1,2011-12-05T00:00:00,2011-12-23T00:00:00,49
4902,2,2012-02-27T00:00:00,2012-03-16T00:00:00,49
4903,3,2012-05-02T00:00:00,2012-05-03T00:00:00,49
4904,4,2012-05-29T00:00:00,2012-06-15T00:00:00,49
4905,5,2012-09-10T00:00:00,2012-09-28T00:00:00,49
4906,6,2012-11-26T00:00:00,2012-12-14T00:00:00,49
4907,7,2013-03-04T00:00:00,2013-03-22T00:00:00,49
4908,8,2013-04-15T00:00:00,2013-04-17T00:00:00,49
4909,9,2013-06-03T00:00:00,2013-06-21T00:00:00,49
4910,10,2013-09-09T00:00:00,2013-09-27T00:00:00,49
4911,11,2013-11-25T00:00:00,2013-12-13T00:00:00,49
4912,12,2014-03-03T00:00:00,2014-03-21T00:00:00,49
4913,13,2014-05-05T00:00:00,2014-05-08T00:00:00,49
4914,14,2014-06-02T00:00:00,2014-06-20T00:00:00,49
4915,15,2014-09-08T00:00:00,2014-09-26T00:00:00,49
4916,16,2014-11-24T00:00:00,2014-12-12T00:00:00,49
4917,17,2015-03-02T00:00:00,2015-03-20T00:00:00,49
4918,18,2015-05-04T00:00:00,2015-05-08T00:00:00,49
4919,19,2015-06-01T00:00:00,2015-06-19T00:00:00,49
4920,20,2015-09-07T00:00:00,2015-09-25T00:00:00,49
5001,1,2015-11-30T00:00:00,2015-12-18T00:00:00,50
5002,2,2016-02-29T00:00:00,2016-03-18T00:00:00,50
5003,3,2016-04-25T00:00:00,2016-04-27T00:00:00,50
5004,4,2016-05-30T00:00:00,2016-06-17T00:00:00,50
5005,5,2016-09-12T00:00:00,2016-09-30T00:00:00,50
5006,6,2016-11-28T00:00:00,2016-12-16T00:00:00,50
5007,7,2017-02-27T00:00:00,2017-03-17T00:00:00,50
5008,8,2017-05-02T00:00:00,2017-05-04T00:00:00,50
5009,9,2017-05-29T00:00:00,2017-06-16T00:00:00,50
5010,10,2017-09-11T00:00:00,2017-09-29T00:00:00,50
5011,11,2017-11-27T00:00:00,2017-12-15T00:00:00,50
5012,12,2018-02-26T00:00:00,2018-03-16T00:00:00,50
5013,13,2018-05-28T00:00:00,2018-06-15T00:00:00,50
5014,14,2018-09-10T00:00:00,2018-09-28T00:00:00,50
5015,15,2018-11-26T00:00:00,2018-12-14T00:00:00,50
5016,16,2019-03-04T00:00:00,2019-03-22T00:00:00,50
5017,17,2019-05-07T00:00:00,2019-05-09T00:00:00,50
5018,18,2019-06-03T00:00:00,2019-06-21T00:00:00,50
5019,19,2019-09-09T00:00:00,2019-09-27T00:00:00,50
5101,1,2019-12-02T00:00:00,2019-12-20T00:00:00,51
5102,2,2020-03-02T00:00:00,2020-03-20T00:00:00,51
5103,3,2020-05-04T00:00:00,2020-05-08T00:00:00,51
5104,4,2020-06-02T00:00:00,2020-06-19T00:00:00,51
5105,5,2020-09-07T00:00:00,2020-09-25T00:00:00,51
5106,6,2020-10-29T00:00:00,2020-10-30T00:00:00,51
5107,7,2020-11-30T00:00:00,2020-12-18T00:00:00,51
5108,8,2021-03-01T00:00:00,2021-03-19T00:00:00,51
5109,9,2021-05-03T00:00:00,2021-05-05T00:00:00,51
5110,10,2021-05-31T00:00:00,2021-06-18T00:00:00,51
5111,11,2021-09-13T00:00:00,2021-10-01T00:00:00,51
5112,12,2021-11-29T00:00:00,2021-12-17T00:00:00,51
5113,13,2022-02-28T00:00:00,2022-03-18T00:00:00,51
5114,14,2022-05-09T00:00:00,2022-05-11T00:00:00,51
5115,15,2022-05-30T00:00:00,2022-06-17T00:00:00,51
5116,16,2022-09-12T00:00:00,2022-09-30T00:00:00,51
5117,17,2022-11-28T00:00:00,2022-12-16T00:00:00,51
5118,18,2023-02-27T00:00:00,2023-03-17T00:00:00,51
5119,19,2023-04-11T00:00:00,2023-04-13T00:00:00,51
5120,20,2023-05-02T00:00:00,2023-05-05T00:00:00,51
5121,21,2023-05-30T00:00:00,2023-06-16T00:00:00,51